"Order","Class","Domain","Variable","Label","Type","ControlledTerms","Role","Core"
"1","Events","AE","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Events","AE","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Events","AE","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Events","AE","AESEQ","Sequence Number","Num","","Identifier","Req"
"5","Events","AE","AEGRPID","Group ID","Char","","Identifier","Perm"
"6","Events","AE","AEREFID","Reference ID ","Char","","Identifier","Perm"
"7","Events","AE","AESPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Events","AE","AETERM","Reported Term for the Adverse Event","Char","","Topic","Req"
"9","Events","AE","AEMODIFY","Modified Reported Term","Char","","Synonym Qualifier","Perm"
"10","Events","AE","AELLT","Lowest Level Term","Char","MedDRA","Variable Qualifier","Exp"
"11","Events","AE","AELLTCD","Lowest Level Term Code","Num","MedDRA","Variable Qualifier","Exp"
"12","Events","AE","AEDECOD","Dictionary-Derived Term","Char","MedDRA","Synonym Qualifier","Req"
"13","Events","AE","AEPTCD","Preferred Term Code","Num","MedDRA","Variable Qualifier","Exp"
"14","Events","AE","AEHLT","High Level Term","Char","MedDRA","Variable Qualifier","Exp"
"15","Events","AE","AEHLTCD","High Level Term Code","Num","MedDRA","Variable Qualifier","Exp"
"16","Events","AE","AEHLGT","High Level Group Term","Char","MedDRA","Variable Qualifier","Exp"
"17","Events","AE","AEHLGTCD","High Level Group Term Code","Num","MedDRA","Variable Qualifier","Exp"
"18","Events","AE","AECAT","Category for Adverse Event","Char","","Grouping Qualifier","Perm"
"19","Events","AE","AESCAT","Subcategory for Adverse Event","Char","","Grouping Qualifier","Perm"
"20","Events","AE","AEPRESP","Pre-Specified Adverse Event","Char","(NY)","Variable Qualifier","Perm"
"21","Events","AE","AEBODSYS","Body System or Organ Class","Char","","Record Qualifier","Exp"
"22","Events","AE","AEBDSYCD","Body System or Organ Class Code","Num","MedDRA","Variable Qualifier","Exp"
"23","Events","AE","AESOC","Primary System Organ Class","Char","MedDRA","Variable Qualifier","Exp"
"24","Events","AE","AESOCCD","Primary System Organ Class Code","Num","MedDRA","Variable Qualifier","Exp"
"25","Events","AE","AELOC","Location of Event","Char","(LOC)","Record Qualifier","Perm"
"26","Events","AE","AESEV","Severity/Intensity","Char","(AESEV)","Record Qualifier","Perm"
"27","Events","AE","AESER","Serious Event","Char","(NY)","Record Qualifier","Exp"
"28","Events","AE","AEACN","Action Taken with Study Treatment","Char","(ACN)","Record Qualifier","Exp"
"29","Events","AE","AEACNOTH","Other Action Taken","Char","","Record Qualifier","Perm"
"30","Events","AE","AEREL","Causality","Char","","Record Qualifier","Exp"
"31","Events","AE","AERELNST","Relationship to Non-Study Treatment","Char","","Record Qualifier","Perm"
"32","Events","AE","AEPATT","Pattern of Adverse Event","Char","","Record Qualifier","Perm"
"33","Events","AE","AEOUT","Outcome of Adverse Event","Char","(OUT)","Record Qualifier","Perm"
"34","Events","AE","AESCAN","Involves Cancer","Char","(NY)","Record Qualifier","Perm"
"35","Events","AE","AESCONG","Congenital Anomaly or Birth Defect","Char","(NY)","Record Qualifier","Perm"
"36","Events","AE","AESDISAB","Persist or Signif Disability/Incapacity","Char","(NY)","Record Qualifier","Perm"
"37","Events","AE","AESDTH","Results in Death","Char","(NY)","Record Qualifier","Perm"
"38","Events","AE","AESHOSP","Requires or Prolongs Hospitalization","Char","(NY)","Record Qualifier","Perm"
